case_id,categoria,colores,shuffle_len,resoluble,algoritmo,resuelto,movimientos,expanded,pruned,max_depth,best_bound,time,limite_alcanzado
S3c_00,soluble,RGB,24,True,backtracking,True,1,2,,1,,0.00012799999967683107,False
S3c_00,soluble,RGB,24,True,branch_and_bound,True,1,3,1,1,1,0.0001480999999330379,False
S3c_01,soluble,RGB,18,True,backtracking,True,4,5,,4,,0.00012900000001536682,False
S3c_01,soluble,RGB,18,True,branch_and_bound,True,1,3,1,1,1,0.00010240000119665638,False
S3c_02,soluble,RGB,22,True,backtracking,True,1,2,,1,,4.9100002797786146e-05,False
S3c_02,soluble,RGB,22,True,branch_and_bound,True,1,3,1,1,1,9.819999831961468e-05,False
S3c_03,soluble,RGB,18,True,backtracking,True,2,3,,2,,6.320000102277845e-05,False
S3c_03,soluble,RGB,18,True,branch_and_bound,True,2,4,1,2,2,0.00014579999697161838,False
S3c_04,soluble,RGB,12,True,backtracking,True,3,4,,3,,7.919999916339293e-05,False
S3c_04,soluble,RGB,12,True,branch_and_bound,True,2,4,1,2,2,0.00014430000010179356,False
S3c_05,soluble,RGB,21,True,backtracking,True,2,3,,2,,5.6400000175926834e-05,False
S3c_05,soluble,RGB,21,True,branch_and_bound,True,2,4,1,2,2,0.0001362999973935075,False
S3c_06,soluble,RGB,13,True,backtracking,True,2,3,,2,,5.879999662283808e-05,False
S3c_06,soluble,RGB,13,True,branch_and_bound,True,2,4,1,2,2,0.00014570000348612666,False
S3c_07,soluble,RGB,19,True,backtracking,True,2,3,,2,,6.639999628532678e-05,False
S3c_07,soluble,RGB,19,True,branch_and_bound,True,2,4,1,2,2,0.00014309999824035913,False
S3c_08,soluble,RGB,19,True,backtracking,True,4,5,,4,,0.00010650000331224874,False
S3c_08,soluble,RGB,19,True,branch_and_bound,True,1,3,1,1,1,9.509999654255807e-05,False
S3c_09,soluble,RGB,13,True,backtracking,True,2,3,,2,,5.539999983739108e-05,False
S3c_09,soluble,RGB,13,True,branch_and_bound,True,2,4,1,2,2,0.0001432999997632578,False
S4c_00,soluble,RGBY,13,True,backtracking,True,2,3,,2,,6.289999873843044e-05,False
S4c_00,soluble,RGBY,13,True,branch_and_bound,True,2,4,1,2,2,0.00017420000222045928,False
S4c_01,soluble,RGBY,17,True,backtracking,True,2,3,,2,,6.310000026132911e-05,False
S4c_01,soluble,RGBY,17,True,branch_and_bound,True,2,4,1,2,2,0.00017980000120587647,False
S4c_02,soluble,RGBY,22,True,backtracking,True,3,4,,3,,9.549999958835542e-05,False
S4c_02,soluble,RGBY,22,True,branch_and_bound,True,2,4,1,2,2,0.00019640000391518697,False
S4c_03,soluble,RGBY,22,True,backtracking,True,1,2,,1,,3.669999568955973e-05,False
S4c_03,soluble,RGBY,22,True,branch_and_bound,True,1,3,1,1,1,0.00010399999882793054,False
S4c_04,soluble,RGBY,21,True,backtracking,True,1,2,,1,,4.230000195093453e-05,False
S4c_04,soluble,RGBY,21,True,branch_and_bound,True,1,3,1,1,1,0.00010409999958937988,False
S4c_05,soluble,RGBY,24,True,backtracking,True,2,3,,2,,6.53000024612993e-05,False
S4c_05,soluble,RGBY,24,True,branch_and_bound,True,2,4,1,2,2,0.0001813000053516589,False
S4c_06,soluble,RGBY,21,True,backtracking,True,1,2,,1,,3.6799996451009065e-05,False
S4c_06,soluble,RGBY,21,True,branch_and_bound,True,1,3,1,1,1,0.00011609999637585133,False
S4c_07,soluble,RGBY,22,True,backtracking,True,1,2,,1,,3.609999839682132e-05,False
S4c_07,soluble,RGBY,22,True,branch_and_bound,True,1,3,1,1,1,0.0001036000030580908,False
S4c_08,soluble,RGBY,16,True,backtracking,True,2,3,,2,,6.510000093840063e-05,False
S4c_08,soluble,RGBY,16,True,branch_and_bound,True,2,4,1,2,2,0.00017700000171316788,False
S4c_09,soluble,RGBY,12,True,backtracking,True,1,2,,1,,3.659999492811039e-05,False
